active,rating,units,room_type,month_date,revenue,nn,free,revenue_usd,occupancy_rate,revpar_usd
true,4.9,1,entire_home,2025-09-01,3020.0,12,18,3926.0,0.4,1570.0
true,5.0,1,private_room,2021-09-01,1139.0,12,18,1481.0,0.4,592.0
true,5.0,1,entire_home,2022-02-01,4345.0,3,25,5649.0,0.11,605.0
true,5.0,1,entire_home,2023-02-01,19691.0,18,10,25598.0,0.64,16456.0
true,5.0,1,entire_home,2024-02-01,7908.0,6,23,10280.0,0.21,2127.0
true,5.0,1,entire_home,2023-02-01,276.0,1,27,359.0,0.04,13.0
true,5.0,1,entire_home,2024-02-01,3030.0,10,19,3939.0,0.34,1358.0
true,4.7,1,private_room,2022-02-01,1889.0,27,1,2456.0,0.96,2368.0
true,4.7,1,private_room,2023-02-01,2104.0,27,1,2735.0,0.96,2638.0
true,4.8,1,private_room,2025-02-01,1118.0,23,5,1453.0,0.82,1194.0
true,5.0,1,entire_home,2023-02-01,3900.0,5,23,5070.0,0.18,905.0
true,5.0,1,entire_home,2023-11-01,8949.0,12,18,11634.0,0.4,4653.0
true,5.0,1,entire_home,2024-02-01,7955.0,11,18,10342.0,0.38,3923.0
true,5.0,1,entire_home,2023-02-01,3967.0,23,5,5157.0,0.82,4236.0
true,5.0,1,entire_home,2025-02-01,1504.0,6,22,1955.0,0.21,419.0
true,5.0,1,entire_home,2025-06-01,5261.0,14,16,6839.0,0.47,3192.0
true,5.0,1,entire_home,2026-02-01,1897.0,6,22,2466.0,0.21,528.0
true,4.9,1,entire_home,2023-02-01,935.0,4,24,1216.0,0.14,174.0
true,4.9,1,entire_home,2025-02-01,351.0,1,27,456.0,0.04,16.0
true,4.9,1,entire_home,2025-06-01,3319.0,10,20,4315.0,0.33,1438.0
true,4.9,1,entire_home,2025-09-01,3885.0,12,18,5051.0,0.4,2020.0
true,4.9,1,entire_home,2025-11-01,3675.0,10,20,4778.0,0.33,1593.0
true,4.9,1,entire_home,2026-02-01,2057.0,6,22,2674.0,0.21,573.0
true,4.9,1,private_room,2023-02-01,1601.0,24,4,2081.0,0.86,1784.0
true,4.9,1,private_room,2024-04-01,815.0,12,18,1060.0,0.4,424.0
true,4.9,1,private_room,2026-02-01,451.0,6,22,586.0,0.21,126.0
true,4.4,1,entire_home,2022-02-01,659.0,5,23,857.0,0.18,153.0
true,4.5,1,private_room,2023-02-01,3576.0,23,5,4649.0,0.82,3819.0
true,4.5,1,private_room,2024-02-01,4248.0,19,10,5522.0,0.66,3618.0
true,4.5,1,private_room,2024-04-01,2533.0,10,20,3293.0,0.33,1098.0
true,4.5,1,private_room,2025-02-01,3792.0,25,3,4930.0,0.89,4401.0
true,4.5,1,private_room,2026-02-01,2384.0,10,18,3099.0,0.36,1107.0
true,4.7,1,entire_home,2025-02-01,10073.0,24,4,13095.0,0.86,11224.0
true,4.7,1,entire_home,2026-02-01,2515.0,5,23,3270.0,0.18,584.0
true,4.7,1,entire_home,2025-02-01,3484.0,4,24,4529.0,0.14,647.0
true,4.9,1,entire_home,2025-02-01,930.0,5,23,1209.0,0.18,216.0
true,4.7,1,entire_home,2023-02-01,3459.0,24,4,4497.0,0.86,3854.0
